2025-05-01 06:20:22,284 [INFO] server listening on [::1]:9999
2025-05-01 06:20:22,284 [INFO] server listening on 127.0.0.1:9999
2025-05-01 06:20:22,412 [INFO] connection open
2025-05-01 06:20:22,412 [INFO] 🌐 WebSocket ready on ws://localhost:9999
2025-05-01 06:20:26,142 [INFO] 👁 Gaze: x=126.2, y=126.2
2025-05-01 06:20:26,149 [INFO] 🔔 Event: 🧠 WebGazer initialized
2025-05-01 06:20:26,214 [INFO] 👁 Gaze: x=196.7, y=196.7
2025-05-01 06:20:26,248 [INFO] 👁 Gaze: x=242.6, y=242.5
2025-05-01 06:20:26,279 [INFO] 👁 Gaze: x=274.6, y=274.3
2025-05-01 06:20:26,308 [INFO] 👁 Gaze: x=297.3, y=296.8
2025-05-01 06:20:26,341 [INFO] 👁 Gaze: x=313.3, y=312.3
2025-05-01 06:20:26,371 [INFO] 👁 Gaze: x=324.2, y=322.0
2025-05-01 06:20:26,417 [INFO] 👁 Gaze: x=331.1, y=327.1
2025-05-01 06:20:26,460 [INFO] 👁 Gaze: x=334.5, y=328.3
2025-05-01 06:20:26,502 [INFO] 👁 Gaze: x=334.9, y=326.1
2025-05-01 06:20:26,543 [INFO] 👁 Gaze: x=332.6, y=320.9
2025-05-01 06:20:26,584 [INFO] 👁 Gaze: x=328.5, y=313.4
2025-05-01 06:20:26,623 [INFO] 👁 Gaze: x=323.1, y=304.1
2025-05-01 06:20:26,663 [INFO] 👁 Gaze: x=316.9, y=293.4
2025-05-01 06:20:26,699 [INFO] 👁 Gaze: x=310.3, y=281.6
2025-05-01 06:20:26,738 [INFO] 👁 Gaze: x=303.8, y=269.2
2025-05-01 06:20:26,779 [INFO] 👁 Gaze: x=297.8, y=256.6
2025-05-01 06:20:26,819 [INFO] 👁 Gaze: x=292.6, y=244.1
2025-05-01 06:20:26,860 [INFO] 👁 Gaze: x=288.0, y=231.9
2025-05-01 06:20:26,901 [INFO] 👁 Gaze: x=284.0, y=220.3
2025-05-01 06:20:26,950 [INFO] 👁 Gaze: x=280.5, y=209.3
2025-05-01 06:20:26,989 [INFO] 👁 Gaze: x=277.1, y=198.9
2025-05-01 06:20:27,027 [INFO] 👁 Gaze: x=273.9, y=189.4
2025-05-01 06:20:27,067 [INFO] 👁 Gaze: x=270.6, y=180.6
2025-05-01 06:20:27,104 [INFO] 👁 Gaze: x=267.0, y=172.6
2025-05-01 06:20:27,143 [INFO] 👁 Gaze: x=263.6, y=165.4
2025-05-01 06:20:27,185 [INFO] 👁 Gaze: x=260.2, y=159.0
2025-05-01 06:20:27,226 [INFO] 👁 Gaze: x=257.1, y=153.4
2025-05-01 06:20:27,278 [INFO] 👁 Gaze: x=254.2, y=148.8
2025-05-01 06:20:27,315 [INFO] 👁 Gaze: x=251.5, y=144.9
2025-05-01 06:20:27,351 [INFO] 👁 Gaze: x=249.1, y=141.8
2025-05-01 06:20:27,391 [INFO] 👁 Gaze: x=246.9, y=139.3
2025-05-01 06:20:27,434 [INFO] 👁 Gaze: x=244.4, y=137.2
2025-05-01 06:20:27,472 [INFO] 👁 Gaze: x=241.7, y=135.3
2025-05-01 06:20:27,508 [INFO] 👁 Gaze: x=239.1, y=133.7
2025-05-01 06:20:27,553 [INFO] 👁 Gaze: x=236.6, y=132.2
2025-05-01 06:20:27,593 [INFO] 👁 Gaze: x=234.1, y=130.8
2025-05-01 06:20:27,633 [INFO] 👁 Gaze: x=231.6, y=129.4
2025-05-01 06:20:27,673 [INFO] 👁 Gaze: x=229.1, y=128.1
2025-05-01 06:20:27,714 [INFO] 👁 Gaze: x=226.8, y=126.7
2025-05-01 06:20:27,755 [INFO] 👁 Gaze: x=224.5, y=125.3
2025-05-01 06:20:27,800 [INFO] 👁 Gaze: x=222.0, y=123.9
2025-05-01 06:20:27,852 [INFO] 👁 Gaze: x=219.3, y=122.4
2025-05-01 06:20:27,889 [INFO] 👁 Gaze: x=216.8, y=121.0
2025-05-01 06:20:27,926 [INFO] 👁 Gaze: x=214.5, y=119.5
2025-05-01 06:20:27,967 [INFO] 👁 Gaze: x=212.8, y=118.2
2025-05-01 06:20:28,006 [INFO] 👁 Gaze: x=211.8, y=117.0
2025-05-01 06:20:28,044 [INFO] 👁 Gaze: x=211.6, y=116.2
2025-05-01 06:20:28,083 [INFO] 👁 Gaze: x=212.2, y=115.5
2025-05-01 06:20:28,120 [INFO] 👁 Gaze: x=213.6, y=115.0
2025-05-01 06:20:28,158 [INFO] 👁 Gaze: x=215.6, y=114.8
2025-05-01 06:20:28,197 [INFO] 👁 Gaze: x=218.1, y=114.7
2025-05-01 06:20:28,236 [INFO] 👁 Gaze: x=221.0, y=114.7
2025-05-01 06:20:28,278 [INFO] 👁 Gaze: x=224.1, y=114.8
2025-05-01 06:20:28,317 [INFO] 👁 Gaze: x=227.2, y=114.8
2025-05-01 06:20:28,359 [INFO] 👁 Gaze: x=230.1, y=114.8
2025-05-01 06:20:28,400 [INFO] 👁 Gaze: x=232.5, y=114.8
2025-05-01 06:20:28,442 [INFO] 👁 Gaze: x=234.0, y=114.6
2025-05-01 06:20:28,483 [INFO] 👁 Gaze: x=234.5, y=114.3
2025-05-01 06:20:28,523 [INFO] 👁 Gaze: x=234.0, y=113.7
2025-05-01 06:20:28,561 [INFO] 👁 Gaze: x=232.5, y=112.9
2025-05-01 06:20:28,601 [INFO] 👁 Gaze: x=229.9, y=112.0
2025-05-01 06:20:28,639 [INFO] 👁 Gaze: x=226.2, y=110.8
2025-05-01 06:20:28,679 [INFO] 👁 Gaze: x=221.7, y=109.5
2025-05-01 06:20:28,717 [INFO] 👁 Gaze: x=216.5, y=108.0
2025-05-01 06:20:28,758 [INFO] 👁 Gaze: x=210.8, y=106.6
2025-05-01 06:20:28,801 [INFO] 👁 Gaze: x=204.7, y=105.0
2025-05-01 06:20:28,844 [INFO] 👁 Gaze: x=198.4, y=103.5
2025-05-01 06:20:28,887 [INFO] 👁 Gaze: x=192.2, y=102.0
2025-05-01 06:20:28,929 [INFO] 👁 Gaze: x=186.0, y=100.6
2025-05-01 06:20:28,971 [INFO] 👁 Gaze: x=179.9, y=99.1
2025-05-01 06:20:29,009 [INFO] 👁 Gaze: x=174.0, y=97.8
2025-05-01 06:20:29,050 [INFO] 👁 Gaze: x=168.2, y=96.4
2025-05-01 06:20:29,093 [INFO] 👁 Gaze: x=162.6, y=95.1
2025-05-01 06:20:29,134 [INFO] 👁 Gaze: x=157.4, y=93.8
2025-05-01 06:20:29,177 [INFO] 👁 Gaze: x=152.7, y=92.6
2025-05-01 06:20:29,218 [INFO] 👁 Gaze: x=148.5, y=91.5
2025-05-01 06:20:29,260 [INFO] 👁 Gaze: x=144.9, y=90.6
2025-05-01 06:20:29,304 [INFO] 👁 Gaze: x=141.8, y=89.8
2025-05-01 06:20:29,346 [INFO] 👁 Gaze: x=139.4, y=89.2
2025-05-01 06:20:29,393 [INFO] 👁 Gaze: x=137.6, y=88.8
2025-05-01 06:20:29,436 [INFO] 👁 Gaze: x=136.5, y=88.5
2025-05-01 06:20:29,480 [INFO] 👁 Gaze: x=136.1, y=88.3
2025-05-01 06:20:29,523 [INFO] 👁 Gaze: x=136.2, y=88.2
2025-05-01 06:20:29,559 [INFO] 👁 Gaze: x=136.6, y=88.1
2025-05-01 06:20:29,600 [INFO] 👁 Gaze: x=137.1, y=88.0
2025-05-01 06:20:29,649 [INFO] 👁 Gaze: x=137.5, y=87.9
2025-05-01 06:20:29,692 [INFO] 👁 Gaze: x=137.8, y=87.7
2025-05-01 06:20:29,734 [INFO] 👁 Gaze: x=137.9, y=87.4
2025-05-01 06:20:29,776 [INFO] 👁 Gaze: x=137.5, y=86.9
2025-05-01 06:20:29,818 [INFO] 👁 Gaze: x=136.8, y=86.3
2025-05-01 06:20:29,856 [INFO] 👁 Gaze: x=135.8, y=85.7
2025-05-01 06:20:29,911 [INFO] 👁 Gaze: x=134.3, y=84.9
2025-05-01 06:20:29,954 [INFO] 👁 Gaze: x=132.6, y=84.1
2025-05-01 06:20:29,994 [INFO] 👁 Gaze: x=130.8, y=83.3
2025-05-01 06:20:30,037 [INFO] 👁 Gaze: x=129.1, y=82.5
2025-05-01 06:20:30,078 [INFO] 👁 Gaze: x=127.8, y=81.9
2025-05-01 06:20:30,117 [INFO] 👁 Gaze: x=126.8, y=81.3
2025-05-01 06:20:30,154 [INFO] 👁 Gaze: x=126.2, y=80.8
2025-05-01 06:20:30,200 [INFO] 👁 Gaze: x=125.7, y=80.3
2025-05-01 06:20:30,244 [INFO] 👁 Gaze: x=125.1, y=79.7
2025-05-01 06:20:30,285 [INFO] 👁 Gaze: x=124.7, y=79.1
2025-05-01 06:20:30,339 [INFO] 👁 Gaze: x=124.2, y=78.5
2025-05-01 06:20:30,383 [INFO] 👁 Gaze: x=123.7, y=78.0
2025-05-01 06:20:30,441 [INFO] 👁 Gaze: x=123.2, y=77.5
2025-05-01 06:20:30,478 [INFO] 👁 Gaze: x=122.7, y=77.0
2025-05-01 06:20:30,518 [INFO] 👁 Gaze: x=122.2, y=76.5
2025-05-01 06:20:30,560 [INFO] 👁 Gaze: x=121.7, y=76.0
2025-05-01 06:20:30,601 [INFO] 👁 Gaze: x=121.3, y=75.5
2025-05-01 06:20:30,639 [INFO] 👁 Gaze: x=121.1, y=75.1
2025-05-01 06:20:30,679 [INFO] 👁 Gaze: x=121.0, y=74.7
2025-05-01 06:20:30,718 [INFO] 👁 Gaze: x=121.0, y=74.3
2025-05-01 06:20:30,760 [INFO] 👁 Gaze: x=121.0, y=74.0
2025-05-01 06:20:30,798 [INFO] 👁 Gaze: x=121.1, y=73.8
2025-05-01 06:20:30,834 [INFO] 👁 Gaze: x=121.3, y=73.7
2025-05-01 06:20:30,878 [INFO] 👁 Gaze: x=121.7, y=73.7
2025-05-01 06:20:30,923 [INFO] 👁 Gaze: x=122.2, y=73.7
2025-05-01 06:20:30,961 [INFO] 👁 Gaze: x=122.5, y=73.8
2025-05-01 06:20:31,001 [INFO] 👁 Gaze: x=122.4, y=73.8
2025-05-01 06:20:31,038 [INFO] 👁 Gaze: x=121.7, y=73.9
2025-05-01 06:20:31,077 [INFO] 👁 Gaze: x=120.2, y=73.9
2025-05-01 06:20:31,116 [INFO] 👁 Gaze: x=117.6, y=73.8
2025-05-01 06:20:31,155 [INFO] 👁 Gaze: x=114.0, y=73.7
2025-05-01 06:20:31,193 [INFO] 👁 Gaze: x=109.7, y=73.7
2025-05-01 06:20:31,232 [INFO] 👁 Gaze: x=105.1, y=73.9
2025-05-01 06:20:31,272 [INFO] 👁 Gaze: x=100.3, y=74.0
2025-05-01 06:20:31,323 [INFO] 👁 Gaze: x=95.4, y=74.1
2025-05-01 06:20:31,369 [INFO] 👁 Gaze: x=90.8, y=74.2
2025-05-01 06:20:31,406 [INFO] 👁 Gaze: x=86.8, y=74.3
2025-05-01 06:20:31,435 [INFO] 👁 Gaze: x=83.3, y=74.4
2025-05-01 06:20:31,470 [INFO] 👁 Gaze: x=80.8, y=74.6
2025-05-01 06:20:31,507 [INFO] 👁 Gaze: x=79.5, y=75.0
2025-05-01 06:20:31,537 [INFO] 👁 Gaze: x=79.1, y=75.4
2025-05-01 06:20:31,582 [INFO] 👁 Gaze: x=79.5, y=75.9
2025-05-01 06:20:31,634 [INFO] 👁 Gaze: x=80.8, y=76.5
2025-05-01 06:20:31,679 [INFO] 👁 Gaze: x=82.5, y=77.1
2025-05-01 06:20:31,734 [INFO] 👁 Gaze: x=84.6, y=77.8
2025-05-01 06:20:31,779 [INFO] 👁 Gaze: x=86.9, y=78.4
2025-05-01 06:20:31,823 [INFO] 👁 Gaze: x=89.1, y=78.9
2025-05-01 06:20:31,870 [INFO] 👁 Gaze: x=91.1, y=79.2
2025-05-01 06:20:31,920 [INFO] 👁 Gaze: x=93.0, y=79.5
2025-05-01 06:20:31,974 [INFO] 👁 Gaze: x=94.8, y=79.6
2025-05-01 06:20:32,018 [INFO] 👁 Gaze: x=96.7, y=79.8
2025-05-01 06:20:32,056 [INFO] 👁 Gaze: x=98.6, y=79.9
2025-05-01 06:20:32,096 [INFO] 👁 Gaze: x=100.7, y=80.0
2025-05-01 06:20:32,139 [INFO] 👁 Gaze: x=103.1, y=80.2
2025-05-01 06:20:32,180 [INFO] 👁 Gaze: x=105.7, y=80.5
2025-05-01 06:20:32,222 [INFO] 👁 Gaze: x=108.5, y=80.7
2025-05-01 06:20:32,264 [INFO] 👁 Gaze: x=111.6, y=81.0
2025-05-01 06:20:32,315 [INFO] 👁 Gaze: x=114.9, y=81.4
2025-05-01 06:20:32,354 [INFO] 👁 Gaze: x=118.1, y=81.7
2025-05-01 06:20:32,395 [INFO] 👁 Gaze: x=121.4, y=82.1
2025-05-01 06:20:32,436 [INFO] 👁 Gaze: x=124.8, y=82.6
2025-05-01 06:20:32,479 [INFO] 👁 Gaze: x=128.1, y=83.1
2025-05-01 06:20:32,521 [INFO] 👁 Gaze: x=131.0, y=83.7
2025-05-01 06:20:32,564 [INFO] 👁 Gaze: x=133.3, y=84.1
2025-05-01 06:20:32,607 [INFO] 👁 Gaze: x=134.7, y=84.3
2025-05-01 06:20:32,648 [INFO] 👁 Gaze: x=135.2, y=84.4
2025-05-01 06:20:32,689 [INFO] 👁 Gaze: x=134.6, y=84.1
2025-05-01 06:20:32,728 [INFO] 👁 Gaze: x=132.8, y=83.5
2025-05-01 06:20:32,773 [INFO] 👁 Gaze: x=129.8, y=82.7
2025-05-01 06:20:32,816 [INFO] 👁 Gaze: x=126.0, y=81.8
2025-05-01 06:20:32,861 [INFO] 👁 Gaze: x=121.9, y=80.7
2025-05-01 06:20:32,906 [INFO] 👁 Gaze: x=117.3, y=79.5
2025-05-01 06:20:32,950 [INFO] 👁 Gaze: x=112.4, y=78.2
2025-05-01 06:20:32,994 [INFO] 👁 Gaze: x=107.2, y=77.0
2025-05-01 06:20:33,038 [INFO] 👁 Gaze: x=101.7, y=75.8
2025-05-01 06:20:33,080 [INFO] 👁 Gaze: x=96.7, y=74.7
2025-05-01 06:20:33,120 [INFO] 👁 Gaze: x=92.6, y=74.0
2025-05-01 06:20:33,162 [INFO] 👁 Gaze: x=89.4, y=73.7
2025-05-01 06:20:33,202 [INFO] 👁 Gaze: x=86.9, y=73.6
2025-05-01 06:20:33,243 [INFO] 👁 Gaze: x=85.2, y=73.8
2025-05-01 06:20:33,284 [INFO] 👁 Gaze: x=84.0, y=74.3
2025-05-01 06:20:33,324 [INFO] 👁 Gaze: x=83.1, y=74.8
2025-05-01 06:20:33,366 [INFO] 👁 Gaze: x=82.4, y=75.4
2025-05-01 06:20:33,411 [INFO] 👁 Gaze: x=81.9, y=76.1
2025-05-01 06:20:33,454 [INFO] 👁 Gaze: x=81.7, y=76.7
2025-05-01 06:20:33,500 [INFO] 👁 Gaze: x=82.3, y=77.6
2025-05-01 06:20:33,547 [INFO] 👁 Gaze: x=83.7, y=78.7
2025-05-01 06:20:33,591 [INFO] 👁 Gaze: x=86.1, y=80.0
2025-05-01 06:20:33,634 [INFO] 👁 Gaze: x=89.3, y=81.4
2025-05-01 06:20:33,685 [INFO] 👁 Gaze: x=93.1, y=82.8
2025-05-01 06:20:33,725 [INFO] 👁 Gaze: x=97.4, y=84.2
2025-05-01 06:20:33,762 [INFO] 👁 Gaze: x=102.2, y=85.5
2025-05-01 06:20:33,802 [INFO] 👁 Gaze: x=107.6, y=86.7
2025-05-01 06:20:33,843 [INFO] 👁 Gaze: x=113.3, y=87.8
2025-05-01 06:20:33,882 [INFO] 👁 Gaze: x=119.5, y=88.8
2025-05-01 06:20:33,922 [INFO] 👁 Gaze: x=126.0, y=89.6
2025-05-01 06:20:33,961 [INFO] 👁 Gaze: x=132.9, y=90.3
